id,title,revenue,budget,genres
101299,The Hunger Games: Catching Fire,865011746,130000000,"Adventure, Action, Science Fiction"
77338,The Intouchables,426588510,13000000,"Drama, Comedy"
419430,Get Out,255407969,4500000,"Mystery, Thriller, Horror"
205596,The Imitation Game,233555708,14000000,"History, Drama, Thriller, War"
424694,Bohemian Rhapsody,903992901,52000000,"Music, Drama, History"
497,The Green Mile,286801374,60000000,"Fantasy, Drama, Crime"
198663,The Maze Runner,348319861,34000000,"Action, Mystery, Science Fiction, Thriller"
18785,The Hangover,469310836,35000000,Comedy
1891,The Empire Strikes Back,538400000,18000000,"Adventure, Action, Science Fiction"
808,Shrek,487853320,60000000,"Animation, Comedy, Fantasy, Adventure, Family"
2062,Ratatouille,623726000,150000000,"Animation, Comedy, Family, Fantasy"
207703,Kingsman: The Secret Service,414351546,81000000,"Crime, Comedy, Action, Adventure"
313369,La La Land,447407695,30000000,"Comedy, Drama, Romance, Music"
109445,Frozen,1274219009,150000000,"Animation, Family, Adventure, Fantasy"
374720,Dunkirk,527000000,150000000,"War, Action, Drama"
269149,Zootopia,1023784195,150000000,"Animation, Adventure, Family, Comedy"
240832,Lucy,458863600,40000000,"Action, Science Fiction"
329,Jurassic Park,920100000,63000000,"Adventure, Science Fiction"
274,The Silence of the Lambs,272742922,19000000,"Crime, Drama, Thriller"
321612,Beauty and the Beast,1266115964,160000000,"Family, Fantasy, Romance"
58,Pirates of the Caribbean: Dead Man's Chest,1065659812,200000000,"Adventure, Fantasy, Action"
75656,Now You See Me,351723989,75000000,"Thriller, Crime"
131631,The Hunger Games: Mockingjay - Part 1,755356711,125000000,"Science Fiction, Adventure, Thriller"
335983,Venom,856085151,116000000,"Science Fiction, Action"
1124,The Prestige,109676311,40000000,"Drama, Mystery, Science Fiction"
6479,I Am Legend,585410052,150000000,"Drama, Science Fiction, Thriller"
857,Saving Private Ryan,481840909,70000000,"Drama, History, War"
299537,Captain Marvel,1131416446,152000000,"Action, Adventure, Science Fiction"
339403,Baby Driver,226945087,34000000,"Action, Crime"
424,Schindler's List,321365567,22000000,"Drama, History, War"
1892,Return of the Jedi,572700000,32350000,"Adventure, Action, Science Fiction"
429617,Spider-Man: Far From Home,1131927996,160000000,"Action, Adventure, Science Fiction"
37724,Skyfall,1142471295,200000000,"Action, Adventure, Thriller"
49047,Gravity,723192705,105000000,"Science Fiction, Thriller, Drama"
127585,X-Men: Days of Future Past,747862775,250000000,"Action, Adventure, Science Fiction"
333339,Ready Player One,607274134,175000000,"Adventure, Action, Science Fiction"
72190,World War Z,531865000,200000000,"Action, Drama, Horror, Science Fiction, Thriller"
640,Catch Me If You Can,352114312,52000000,"Drama, Crime"
330459,Rogue One: A Star Wars Story,1056057273,200000000,"Action, Adventure, Science Fiction"
181808,Star Wars: The Last Jedi,1332698830,200000000,"Adventure, Action, Science Fiction"
49521,Man of Steel,668045518,225000000,"Action, Adventure, Science Fiction"
20352,Despicable Me,533679475,69000000,"Family, Animation, Comedy"
558,Spider-Man 2,788976453,200000000,"Action, Adventure, Fantasy"
324857,Spider-Man: Into the Spider-Verse,375464627,90000000,"Action, Adventure, Animation, Science Fiction"
118,Charlie and the Chocolate Factory,474968763,150000000,"Adventure, Comedy, Family, Fantasy"
244786,Whiplash,13092000,3300000,"Drama, Music"
1422,The Departed,291465000,90000000,"Drama, Thriller, Crime"
120467,The Grand Budapest Hotel,174600318,30000000,"Comedy, Drama"
10193,Toy Story 3,1066969703,200000000,"Animation, Family, Comedy"
77,Memento,39723096,9000000,"Mystery, Thriller"
38,Eternal Sunshine of the Spotless Mind,72258126,20000000,"Science Fiction, Drama, Romance"
101,Léon: The Professional,45284974,16000000,"Crime, Drama, Action"
752,V for Vendetta,132511035,54000000,"Action, Thriller, Science Fiction"
1893,Star Wars: Episode I - The Phantom Menace,924317558,115000000,"Adventure, Action, Science Fiction"
152601,Her,47351251,23000000,"Romance, Science Fiction, Drama"
285,Pirates of the Caribbean: At World's End,961000000,300000000,"Adventure, Fantasy, Action"
122917,The Hobbit: The Battle of the Five Armies,956019788,250000000,"Action, Adventure, Fantasy"
500,Reservoir Dogs,2859750,1200000,"Crime, Thriller"
273248,The Hateful Eight,155760117,44000000,"Drama, Mystery, Western"
348,Alien,104931801,11000000,"Horror, Science Fiction"
10528,Sherlock Holmes,524028679,90000000,"Action, Adventure, Crime, Mystery"
12155,Alice in Wonderland,1025467110,200000000,"Family, Fantasy, Adventure"
1865,Pirates of the Caribbean: On Stranger Tides,1045713802,379000000,"Adventure, Action, Fantasy"
559,Spider-Man 3,894983373,258000000,"Fantasy, Action, Adventure"
447332,A Quiet Place,341000000,17000000,"Horror, Drama, Science Fiction"
297802,Aquaman,1148528393,160000000,"Action, Adventure, Fantasy"
393,Kill Bill: Vol. 2,152159461,30000000,"Action, Crime, Thriller"
920,Cars,461983149,120000000,"Animation, Adventure, Comedy, Family"
863,Toy Story 2,497366869,90000000,"Animation, Comedy, Family"
607,Men in Black,589390539,90000000,"Action, Adventure, Comedy, Science Fiction"
137113,Edge of Tomorrow,370541256,178000000,"Action, Science Fiction"
1271,300,456082343,65000000,"Action, Adventure, War"
353486,Jumanji: Welcome to the Jungle,995339117,90000000,"Adventure, Action, Comedy, Fantasy"
78,Blade Runner,41722424,28000000,"Science Fiction, Drama, Thriller"
1895,Star Wars: Episode III - Revenge of the Sith,850000000,113000000,"Adventure, Action, Science Fiction"
324786,Hacksaw Ridge,175302354,40000000,"Drama, History, War"
8966,Twilight,393616788,37000000,"Fantasy, Drama, Romance"
62177,Brave,538983207,185000000,"Animation, Adventure, Comedy, Family, Action, Fantasy"
363088,Ant-Man and the Wasp,622674139,140000000,"Action, Adventure, Science Fiction"
102651,Maleficent,758539785,180000000,"Fantasy, Adventure, Action, Family, Romance"
274870,Passengers,303144152,110000000,"Drama, Romance, Science Fiction"
87827,Life of Pi,609016565,120000000,"Adventure, Drama"
264660,Ex Machina,36869414,15000000,"Drama, Science Fiction"
102382,The Amazing Spider-Man 2,708962323,200000000,"Action, Adventure, Fantasy"
335984,Blade Runner 2049,259239658,150000000,"Science Fiction, Drama"
425,Ice Age,383257136,59000000,"Animation, Comedy, Family, Adventure"
1894,Star Wars: Episode II - Attack of the Clones,649398328,120000000,"Adventure, Action, Science Fiction"
141052,Justice League,657926987,300000000,"Action, Adventure, Science Fiction"
57158,The Hobbit: The Desolation of Smaug,958400000,250000000,"Fantasy, Adventure, Action"
466272,Once Upon a Time… in Hollywood,374251247,95000000,"Comedy, Drama, Thriller"
637,Life Is Beautiful,230098753,20000000,"Comedy, Drama"
246655,X-Men: Apocalypse,543934787,178000000,"Action, Adventure, Science Fiction, Fantasy"
157350,Divergent,288885818,85000000,"Action, Adventure, Science Fiction"
190859,American Sniper,542307423,58800000,"War, Action"
10191,How to Train Your Dragon,494879471,165000000,"Fantasy, Adventure, Animation, Family"
260513,Incredibles 2,1242805359,200000000,"Action, Adventure, Animation, Family"
162,Edward Scissorhands,53000000,20000000,"Fantasy, Drama, Romance"
324552,John Wick: Chapter 2,171539887,40000000,"Action, Thriller, Crime"
49538,X-Men: First Class,353624124,160000000,"Action, Science Fiction, Adventure"
185,A Clockwork Orange,26589000,2200000,"Science Fiction, Drama"
4922,The Curious Case of Benjamin Button,335802786,150000000,"Drama, Fantasy, Romance"
218,The Terminator,78371200,6400000,"Action, Thriller, Science Fiction"
165,Back to the Future Part II,332000000,40000000,"Adventure, Comedy, Science Fiction"
280,Terminator 2: Judgment Day,520000000,102000000,"Action, Thriller, Science Fiction"
769,GoodFellas,46835000,25000000,"Drama, Crime"
64690,Drive,78054825,15000000,"Drama, Thriller, Crime"
68726,Pacific Rim,411002906,180000000,"Action, Science Fiction, Adventure"
131634,The Hunger Games: Mockingjay - Part 2,653428261,160000000,"Action, Adventure, Science Fiction"
82690,Wreck-It Ralph,471222889,165000000,"Family, Animation, Comedy, Adventure"
141,Donnie Darko,7500000,6000000,"Fantasy, Drama, Mystery"
72105,Ted,549368315,50000000,"Comedy, Fantasy"
64682,The Great Gatsby,351040419,105000000,"Drama, Romance"
277834,Moana,690860472,150000000,"Adventure, Comedy, Family, Animation"
399055,The Shape of Water,195333312,19500000,"Drama, Fantasy, Romance"
85,Raiders of the Lost Ark,389925971,18000000,"Adventure, Action"
19908,Zombieland,102391540,23600000,"Comedy, Horror"
127380,Finding Dory,1028570889,200000000,"Adventure, Animation, Comedy, Family"
296096,Me Before You,207945075,20000000,"Drama, Romance"
530915,1917,394638258,100000000,"War, History, Thriller"
398818,Call Me by Your Name,43143046,4000000,"Romance, Drama"
82693,Silver Linings Playbook,236412453,21000000,"Drama, Comedy, Romance"
809,Shrek 2,928760770,150000000,"Animation, Family, Comedy, Fantasy, Adventure"
14161,2012,791217826,200000000,"Action, Adventure, Science Fiction"
240,The Godfather Part II,102600000,13000000,"Drama, Crime"
14,American Beauty,356296601,15000000,Drama
70981,Prometheus,403354469,130000000,"Science Fiction, Adventure, Mystery"
37799,The Social Network,224920315,40000000,Drama
166426,Pirates of the Caribbean: Dead Men Tell No Tales,795922298,230000000,"Adventure, Action, Fantasy"
546554,Knives Out,312897920,40000000,"Comedy, Crime, Mystery"
489,Good Will Hunting,225933435,10000000,Drama
216015,Fifty Shades of Grey,571006128,40000000,"Drama, Romance, Thriller"
350,The Devil Wears Prada,326706115,35000000,"Comedy, Drama, Romance"
103,Taxi Driver,28600000,1900000,"Crime, Drama"
228150,Fury,211817906,68000000,"War, Drama, Action"
1724,The Incredible Hulk,163712074,150000000,"Science Fiction, Action, Adventure"
23483,Kick-Ass,96188903,28000000,"Action, Crime"
2048,"I, Robot",347234916,120000000,"Action, Science Fiction"
6977,No Country for Old Men,171627166,25000000,"Crime, Drama, Thriller"
61791,Rise of the Planet of the Apes,482860185,93000000,"Thriller, Action, Drama, Science Fiction"
161,Ocean's Eleven,450717150,85000000,"Thriller, Crime"
745,The Sixth Sense,672806292,40000000,"Mystery, Thriller, Drama"
194,Amélie,173921954,10000000,"Comedy, Romance"
111,Scarface,66023329,25000000,"Action, Crime, Drama"
146233,Prisoners,122126687,46000000,"Drama, Thriller, Crime"
73,American History X,23875127,20000000,Drama
138843,The Conjuring,320406242,13000000,"Horror, Thriller"
11036,The Notebook,115603229,29000000,"Romance, Drama"
76203,12 Years a Slave,187000000,20000000,"Drama, History"
62,2001: A Space Odyssey,71923560,12000000,"Science Fiction, Mystery, Adventure"
49530,In Time,173930596,40000000,"Action, Thriller, Science Fiction"
812,Aladdin,504050219,28000000,"Animation, Family, Adventure, Fantasy, Romance"
490132,Green Book,319700000,23000000,"Drama, Comedy"
38757,Tangled,592461732,260000000,"Animation, Family"
8358,Cast Away,429632142,90000000,"Adventure, Drama"
36657,X-Men,296339527,75000000,"Adventure, Action, Science Fiction"
93456,Despicable Me 2,970761885,76000000,"Animation, Comedy, Family"
9502,Kung Fu Panda,631744560,130000000,"Action, Adventure, Animation, Family, Comedy"
1858,Transformers,709709780,150000000,"Adventure, Science Fiction, Action"
601,E.T. the Extra-Terrestrial,792965500,10500000,"Science Fiction, Adventure, Family, Fantasy"
8681,Taken,226830568,25000000,"Action, Thriller"
351286,Jurassic World: Fallen Kingdom,1310466296,170000000,"Action, Adventure, Science Fiction, Thriller"
115,The Big Lebowski,47010480,15000000,"Comedy, Crime"
119450,Dawn of the Planet of the Apes,710644566,170000000,"Science Fiction, Action, Drama, Thriller"
207,Dead Poets Society,235860116,16400000,Drama
372058,Your Name.,357986087,0,"Romance, Animation, Drama"
338952,Fantastic Beasts: The Crimes of Grindelwald,654855901,200000000,"Fantasy, Adventure, Family"
562,Die Hard,140767956,28000000,"Action, Thriller"
291805,Now You See Me 2,334901337,90000000,"Crime, Thriller, Action, Mystery"
771,Home Alone,476684675,18000000,"Comedy, Family"
604,The Matrix Reloaded,738599701,150000000,"Adventure, Action, Thriller, Science Fiction"
953,Madagascar,542063846,75000000,"Family, Animation, Adventure, Comedy"
266856,The Theory of Everything,123726688,15000000,"Drama, Romance"
242582,Nightcrawler,50300000,8500000,"Crime, Drama, Thriller"
82992,Fast & Furious 6,788680968,160000000,"Action, Thriller, Crime"
75612,Oblivion,286168572,120000000,"Action, Science Fiction, Adventure, Mystery"
310,Bruce Almighty,484592874,80000000,"Fantasy, Comedy"
13223,Gran Torino,269958228,33000000,Drama
168259,Furious 7,1515341399,190000000,"Action, Thriller, Crime"
